Date,Branch,Customer_Type,Payment,Total
2024-12-04,A,Member,E-wallet,232.52
2024-07-07,B,Normal,E-wallet,190.75
2024-10-26,A,Normal,Cash,354.91
2024-10-31,A,Member,Credit Card,283.55
2024-05-24,A,Member,E-wallet,296.05
2025-02-10,A,Normal,Credit Card,473.29
2024-07-14,B,Member,E-wallet,23.41
2024-12-11,A,Normal,Cash,87.05
2024-10-05,B,Member,E-wallet,204.22
2024-07-24,A,Member,Cash,29.9
2024-11-30,A,Member,Credit Card,19.7
2024-12-25,A,Normal,Credit Card,451.85
2024-08-22,B,Normal,E-wallet,74.53
2024-12-06,A,Normal,E-wallet,36.45
2024-10-08,A,Normal,Credit Card,321.35
2024-08-15,A,Member,E-wallet,410.87
2024-11-27,B,Member,E-wallet,450.76
2024-03-30,A,Normal,E-wallet,466.25
2024-11-05,B,Normal,Cash,474.21
2024-09-01,B,Member,Cash,149.39
2024-07-13,B,Member,E-wallet,466.79
2025-01-16,B,Normal,Cash,364.7
2024-09-10,B,Normal,Cash,169.36
2024-09-16,A,Normal,Credit Card,438.21
2024-08-01,B,Normal,Credit Card,42.62
2024-11-19,A,Member,E-wallet,106.21
2024-12-07,A,Member,E-wallet,354.91
2024-03-17,A,Member,E-wallet,195.74
2024-11-01,B,Member,Credit Card,350.81
2024-06-07,B,Normal,Cash,62.21
2024-11-12,A,Normal,Credit Card,197.99
2024-05-01,A,Member,Cash,24.29
2024-05-25,A,Normal,E-wallet,92.47
2024-09-26,B,Normal,E-wallet,267.79
2024-04-21,A,Member,Credit Card,215.6
2024-02-27,A,Member,Cash,127.4
2024-11-27,A,Normal,Credit Card,159.23
2024-04-03,B,Member,Cash,123.76
2024-11-01,A,Member,Credit Card,366.4
2024-04-12,A,Member,Cash,154.24
2024-03-06,A,Normal,E-wallet,227.79
2024-04-29,B,Normal,E-wallet,359.52
2024-04-27,B,Normal,Cash,228.52
2024-02-19,B,Normal,E-wallet,33.47
2024-06-30,B,Normal,Credit Card,63.66
2024-04-25,B,Member,E-wallet,477.07
2024-04-27,B,Normal,Credit Card,55.44
2024-03-11,A,Normal,E-wallet,374.22
2024-05-24,A,Member,Cash,49.05
2024-03-28,B,Member,E-wallet,335.02
2024-09-21,A,Member,Credit Card,386.5
2024-12-31,B,Member,Cash,51.38
2024-04-03,A,Member,E-wallet,203.46
2024-07-22,B,Member,Credit Card,169.68
2024-05-04,A,Normal,E-wallet,218.65
2024-04-30,A,Normal,Credit Card,372.62
2024-07-08,A,Member,Cash,341.56
2024-07-28,A,Normal,Cash,117.03
2024-12-31,A,Normal,E-wallet,127.25
2024-08-03,A,Normal,Cash,182.75
2024-05-13,A,Member,E-wallet,121.29
2024-03-02,A,Normal,Cash,305.42
2024-06-07,B,Member,Credit Card,458.29
2024-05-09,B,Normal,E-wallet,259.62
2024-07-01,B,Normal,Cash,129.56
2024-06-22,B,Normal,E-wallet,448.82
2024-02-29,A,Member,Credit Card,248.52
2024-06-03,B,Normal,E-wallet,293.1
2024-06-27,B,Normal,E-wallet,244.18
2024-07-08,A,Member,Cash,59.05
2024-06-08,A,Member,E-wallet,425.55
2024-11-01,A,Normal,Credit Card,393.29
2024-04-15,A,Normal,E-wallet,299.41
2025-02-11,B,Member,Cash,195.28
2024-08-08,B,Member,E-wallet,385.97
2024-06-07,B,Member,Cash,319.79
2024-12-31,A,Normal,Credit Card,55.36
2024-03-18,A,Member,E-wallet,403.73
2024-09-27,B,Normal,E-wallet,357.64
2024-05-17,B,Normal,Cash,406.6
2024-08-02,B,Member,E-wallet,479.36
2025-02-11,B,Normal,Credit Card,73.0
2024-10-29,B,Member,Cash,274.75
2025-02-04,A,Normal,Cash,206.05
2024-03-08,A,Normal,Credit Card,360.92
2024-09-10,A,Normal,E-wallet,407.23
2025-01-13,B,Normal,Credit Card,339.86
2024-11-22,A,Member,Credit Card,121.0
2024-06-30,B,Member,Credit Card,455.0
2024-03-18,B,Member,E-wallet,319.26
2024-07-28,A,Member,Cash,489.18
2024-09-17,A,Normal,Credit Card,279.73
2024-03-18,A,Member,Cash,259.26
2024-10-31,B,Normal,Cash,125.73
2024-11-14,B,Member,Cash,158.65
2024-06-20,A,Normal,Credit Card,101.12
2025-01-12,A,Normal,Cash,346.13
2024-10-18,B,Member,Credit Card,471.7
2024-03-09,A,Normal,E-wallet,303.33
2024-03-05,B,Member,E-wallet,314.71
2024-02-27,A,Member,Credit Card,49.67
2024-05-08,A,Normal,E-wallet,462.08
2024-08-21,B,Normal,Credit Card,99.1
2024-10-05,B,Member,E-wallet,100.7
2024-04-02,A,Member,Credit Card,474.4
2024-07-31,B,Normal,Credit Card,73.62
2024-06-25,B,Member,Credit Card,477.12
2024-12-10,B,Member,E-wallet,121.28
2024-08-27,A,Normal,Cash,330.55
2024-07-13,B,Member,E-wallet,49.26
2024-05-10,A,Member,Cash,213.23
2024-12-03,B,Member,E-wallet,43.74
2024-08-24,A,Normal,Cash,130.22
2024-05-26,B,Normal,Credit Card,473.58
2024-12-09,A,Member,Cash,112.99
2024-07-25,B,Member,Cash,91.22
2024-12-09,B,Member,Credit Card,244.11
2024-07-28,B,Member,Cash,349.05
2024-02-20,B,Member,Cash,302.32
2024-04-25,A,Normal,Cash,439.65
2024-10-17,A,Normal,Cash,144.59
2024-09-16,A,Member,Cash,405.5
2024-11-17,B,Member,Cash,234.01
2024-07-07,B,Normal,Cash,32.16
2024-08-16,A,Normal,Credit Card,211.63
2024-08-25,A,Normal,Cash,138.53
2025-01-01,A,Member,Cash,269.31
2024-03-10,A,Member,Cash,255.72
2024-06-04,B,Normal,E-wallet,386.1
2024-11-08,A,Normal,E-wallet,432.19
2024-03-29,B,Member,E-wallet,128.41
2025-02-11,B,Member,E-wallet,236.31
2024-08-19,A,Normal,Credit Card,475.19
2024-06-07,B,Normal,E-wallet,314.7
2024-10-19,B,Member,Credit Card,326.05
2024-10-28,B,Normal,E-wallet,376.81
2024-09-05,B,Normal,E-wallet,183.21
2024-04-16,A,Normal,Credit Card,252.16
2025-02-01,A,Normal,Cash,54.44
2024-02-15,A,Member,Credit Card,189.95
2024-03-21,B,Normal,Cash,212.2
2025-01-23,A,Member,Cash,461.29
2024-08-31,A,Member,Credit Card,350.96
2024-07-18,B,Normal,Cash,449.65
2025-01-28,B,Normal,Credit Card,151.34
2024-09-26,A,Normal,E-wallet,320.47
2024-11-19,A,Member,E-wallet,109.8
2024-03-18,A,Normal,E-wallet,428.01
2024-12-30,A,Member,Credit Card,345.27
2024-11-22,B,Normal,Cash,454.66
2024-08-20,A,Member,E-wallet,282.73
2024-11-17,B,Member,Credit Card,201.86
2024-05-04,A,Member,Credit Card,82.79
2024-08-19,A,Normal,Credit Card,291.12
2024-05-02,A,Normal,E-wallet,373.65
2024-11-27,B,Member,Credit Card,188.85
2024-04-05,B,Member,Cash,362.21
2024-07-26,B,Normal,Credit Card,398.73
2024-09-16,B,Normal,E-wallet,88.47
2024-11-12,A,Normal,Cash,314.54
2024-03-01,A,Member,Cash,375.05
2024-10-20,B,Normal,E-wallet,161.27
2024-06-14,B,Normal,Credit Card,78.0
2024-03-31,A,Member,E-wallet,131.56
2024-08-17,B,Normal,Credit Card,259.35
2024-05-13,A,Member,E-wallet,404.96
2024-12-19,A,Normal,E-wallet,122.56
2024-09-02,B,Member,Cash,383.68
2024-05-12,A,Member,Credit Card,11.8
2024-08-03,B,Member,Cash,51.81
2024-06-13,A,Member,Credit Card,98.7
2024-03-13,A,Member,Cash,86.13
2024-11-25,A,Normal,Credit Card,263.27
2025-01-29,A,Member,Cash,23.42
2024-11-25,B,Normal,Cash,263.32
2024-11-04,A,Normal,E-wallet,72.33
2024-05-20,B,Normal,Cash,164.25
2024-08-02,A,Normal,E-wallet,281.55
2024-04-10,A,Normal,Cash,391.39
2024-02-15,B,Normal,Cash,102.12
2024-10-16,A,Normal,E-wallet,98.76
2024-08-12,B,Normal,Credit Card,309.47
2024-02-18,B,Normal,Cash,207.49
2024-04-05,B,Member,E-wallet,99.0
2024-06-05,A,Normal,Credit Card,315.09
2024-11-23,B,Normal,Cash,298.28
2024-05-08,A,Member,E-wallet,104.44
2024-09-23,A,Normal,E-wallet,96.6
2024-07-31,A,Member,E-wallet,287.74
2024-11-18,B,Member,Credit Card,85.16
2024-09-20,A,Normal,Cash,213.86
2024-12-14,A,Member,E-wallet,283.64
2024-07-11,A,Member,E-wallet,181.08
2024-05-22,B,Normal,Credit Card,425.69
2024-03-24,B,Normal,E-wallet,366.44
2024-11-24,A,Member,E-wallet,464.21
2025-01-09,A,Normal,Cash,335.27
2024-12-14,A,Normal,E-wallet,376.52
2024-08-10,B,Member,Credit Card,359.56
2024-10-20,B,Member,Credit Card,263.24
2024-06-15,B,Normal,Cash,410.55
2024-08-22,A,Member,Credit Card,233.02
2024-10-19,B,Member,E-wallet,72.04
2024-09-09,B,Normal,Cash,487.69
2024-07-08,A,Normal,E-wallet,343.02
2024-04-26,B,Member,E-wallet,447.0
2024-09-25,B,Normal,Cash,119.47
2024-05-09,A,Normal,Cash,351.13
2024-06-18,B,Member,E-wallet,89.2
2024-05-24,B,Member,Credit Card,454.75
2024-05-09,A,Member,Credit Card,425.81
2024-05-29,B,Normal,E-wallet,96.14
2024-08-07,B,Member,Credit Card,465.33
2024-04-26,B,Normal,E-wallet,137.62
2024-06-01,A,Normal,E-wallet,248.75
2024-05-20,B,Member,Credit Card,33.89
2025-01-01,B,Member,Cash,42.47
2024-09-10,A,Member,Cash,170.69
2024-02-24,B,Normal,Cash,397.98
2024-08-22,B,Member,Cash,129.92
2024-11-14,B,Normal,Cash,460.18
2024-09-15,A,Normal,Credit Card,141.72
2024-12-05,A,Normal,Cash,107.94
2024-12-07,B,Normal,E-wallet,336.1
2024-03-05,B,Member,E-wallet,39.67
2024-11-24,A,Normal,Credit Card,284.05
2025-01-19,B,Normal,Credit Card,221.03
2024-07-14,B,Normal,Cash,477.39
2024-10-06,A,Normal,E-wallet,119.94
2024-03-31,B,Normal,Cash,499.74
2024-08-12,A,Normal,E-wallet,64.9
2024-04-17,B,Member,Credit Card,154.0
2024-04-14,B,Member,E-wallet,198.4
2024-04-29,B,Normal,E-wallet,144.13
2025-01-15,B,Normal,E-wallet,251.93
2024-06-03,B,Member,Cash,273.56
2024-11-10,B,Normal,E-wallet,267.27
2024-07-29,B,Member,E-wallet,48.35
2024-11-02,B,Normal,Cash,219.15
2025-01-09,A,Member,Credit Card,149.96
2024-08-18,A,Member,Credit Card,221.98
2024-04-07,B,Member,E-wallet,372.06
2024-08-14,A,Member,E-wallet,260.92
2024-04-12,B,Member,Credit Card,191.18
2024-09-03,B,Member,Credit Card,353.84
2024-06-05,A,Member,E-wallet,313.1
2024-06-18,B,Member,Cash,257.6
2024-05-23,A,Normal,Credit Card,206.57
2024-12-07,A,Normal,E-wallet,186.49
2024-03-02,B,Normal,Cash,381.38
2024-07-25,A,Member,Cash,190.14
2024-04-01,A,Member,Cash,460.14
2024-12-19,A,Member,Cash,189.35
2024-10-25,B,Normal,Credit Card,277.58
2024-04-04,B,Normal,E-wallet,132.83
2025-01-01,B,Normal,E-wallet,222.57
2025-01-31,A,Normal,Cash,304.98
2024-07-26,B,Normal,E-wallet,353.38
2024-08-06,A,Normal,E-wallet,366.24
2024-03-12,B,Normal,Credit Card,108.43
2024-05-31,B,Member,E-wallet,152.25
2024-04-06,B,Normal,Credit Card,199.27
2025-01-07,A,Member,E-wallet,339.82
2024-04-08,A,Normal,Cash,276.1
2024-02-18,B,Member,Credit Card,160.33
2024-05-08,B,Normal,Credit Card,388.92
2024-04-22,B,Normal,E-wallet,433.74
2024-08-04,B,Normal,E-wallet,31.54
2024-07-27,B,Member,E-wallet,78.9
2024-02-17,A,Member,Credit Card,44.79
2024-05-11,A,Member,Cash,277.77
2024-12-26,B,Member,Credit Card,328.86
2024-07-06,B,Member,Cash,426.23
2024-10-21,A,Normal,Credit Card,333.9
2025-02-07,A,Member,Credit Card,466.69
2024-06-12,A,Member,E-wallet,157.63
2024-04-06,B,Normal,E-wallet,488.28
2024-12-16,B,Member,E-wallet,234.05
2024-06-23,B,Member,Credit Card,393.21
2024-05-20,A,Member,Cash,360.29
2025-02-05,A,Member,Credit Card,480.12
2024-12-03,A,Member,Credit Card,308.06
2024-10-08,B,Member,Cash,251.84
2025-02-03,B,Member,E-wallet,89.68
2024-02-19,A,Member,Cash,218.89
2025-02-01,A,Member,Cash,173.61
2024-06-22,B,Member,Credit Card,380.63
2024-02-13,A,Member,Credit Card,476.76
2024-05-06,A,Normal,Cash,216.59
2024-11-21,B,Member,Credit Card,407.53
2024-03-17,A,Member,E-wallet,261.45
2024-04-14,A,Member,Cash,463.12
2024-10-25,B,Member,Credit Card,116.54
2024-03-12,B,Normal,Cash,353.49
2024-08-05,A,Member,Cash,423.46
2024-07-02,B,Member,E-wallet,247.58
2024-10-08,A,Normal,E-wallet,117.2
2024-05-12,B,Normal,E-wallet,92.57
2025-01-29,B,Member,E-wallet,182.12
2024-05-15,B,Normal,Credit Card,86.0
2024-04-14,A,Member,Credit Card,196.51
2024-12-05,A,Normal,Credit Card,431.0
2024-04-19,A,Member,Cash,455.24
2024-06-14,B,Member,Credit Card,345.65
2024-10-17,B,Normal,Credit Card,102.45
2024-12-21,B,Member,Cash,331.44
2024-06-26,A,Member,E-wallet,302.87
2024-08-29,A,Normal,Credit Card,342.23
2024-08-30,B,Member,Credit Card,441.48
2025-01-25,A,Member,Credit Card,322.99
2024-07-20,A,Member,E-wallet,181.54
2024-10-09,B,Normal,Credit Card,83.27
2024-02-21,A,Normal,Cash,320.25
2024-05-11,A,Normal,E-wallet,453.43
2024-11-07,B,Normal,Cash,127.45
2024-03-04,B,Normal,Credit Card,262.25
2025-02-08,A,Member,Credit Card,345.69
2024-08-12,B,Member,Credit Card,457.71
2025-01-07,A,Normal,Credit Card,262.04
2024-08-12,B,Member,Credit Card,24.79
2024-12-02,B,Normal,Cash,129.67
2024-08-28,A,Member,E-wallet,26.27
2024-08-25,A,Member,E-wallet,354.81
2024-07-22,B,Normal,Credit Card,253.63
2024-11-15,A,Normal,Cash,272.48
2024-12-03,A,Member,Credit Card,346.09
2024-03-14,A,Member,Cash,297.09
2024-03-30,B,Normal,Cash,393.08
2024-11-15,A,Normal,Credit Card,396.88
2024-11-23,A,Member,E-wallet,14.58
2024-11-30,A,Member,Credit Card,498.26
2024-08-16,A,Normal,Credit Card,490.28
2024-03-07,A,Member,Credit Card,478.05
2024-05-27,B,Normal,Credit Card,346.95
2025-01-11,A,Member,Credit Card,196.66
2024-03-27,B,Member,Credit Card,349.42
2024-10-13,B,Normal,Cash,168.93
2024-12-17,B,Member,Credit Card,458.89
2025-01-21,B,Member,Credit Card,23.22
2024-06-16,B,Member,E-wallet,220.7
2024-05-15,B,Normal,Cash,55.44
2025-01-31,B,Normal,Cash,78.29
2025-01-13,B,Member,Cash,328.5
2024-03-30,B,Member,Cash,110.9
2024-07-08,B,Normal,Credit Card,112.69
2024-04-04,A,Normal,E-wallet,17.12
2024-05-13,B,Normal,Credit Card,297.92
2024-09-04,B,Normal,Credit Card,206.77
2024-04-21,A,Member,E-wallet,272.3
2025-01-24,A,Normal,Cash,148.65
2024-12-26,A,Normal,Cash,426.25
2024-08-15,B,Normal,Credit Card,450.78
2024-10-26,A,Member,E-wallet,104.08
2024-08-26,A,Normal,Credit Card,69.17
2024-07-01,A,Normal,Credit Card,17.34
2024-09-19,B,Normal,Cash,269.38
2024-10-20,A,Member,E-wallet,391.16
2024-10-09,A,Member,E-wallet,375.15
2024-02-27,B,Member,Cash,275.94
2024-03-27,A,Member,E-wallet,42.38
2024-02-22,A,Normal,E-wallet,389.65
2024-03-20,B,Normal,Cash,390.63
2024-09-27,A,Normal,Cash,261.86
2024-09-08,A,Normal,Cash,257.19
2024-10-01,A,Member,E-wallet,111.14
2024-05-15,B,Member,Cash,389.32
2024-04-18,A,Member,Cash,487.45
2024-07-29,B,Normal,E-wallet,289.63
2024-03-02,B,Member,E-wallet,416.97
2024-07-30,A,Member,E-wallet,248.94
2024-11-16,B,Member,E-wallet,339.63
2024-09-27,A,Normal,Cash,187.67
2024-03-27,B,Normal,Cash,372.98
2024-09-10,A,Member,Cash,35.28
2024-07-17,A,Member,Credit Card,38.23
2024-05-05,A,Normal,Cash,32.25
2024-04-19,A,Normal,Credit Card,200.6
2024-12-03,A,Normal,Credit Card,204.48
2024-03-31,A,Normal,Cash,329.4
2024-06-05,B,Normal,Cash,125.56
2024-12-07,A,Member,Credit Card,325.58
2024-03-17,B,Member,E-wallet,338.22
2024-11-11,A,Normal,E-wallet,288.13
2024-12-10,A,Member,E-wallet,58.2
2024-10-31,B,Member,E-wallet,52.56
2024-08-28,A,Member,E-wallet,127.14
2024-06-14,B,Normal,Cash,26.03
2024-06-02,A,Normal,Cash,410.52
2024-12-28,A,Normal,Cash,408.93
2024-12-06,A,Normal,Cash,156.31
2024-06-29,A,Member,Credit Card,363.68
2024-10-04,A,Normal,Credit Card,373.57
2024-07-08,B,Member,Credit Card,293.39
2024-03-13,A,Member,Cash,265.72
2024-10-17,A,Member,E-wallet,21.47
2024-08-16,B,Normal,E-wallet,484.28
2024-12-27,B,Normal,Cash,415.85
2024-07-31,B,Normal,Cash,92.41
2024-05-02,B,Member,Credit Card,115.87
2024-07-01,B,Member,Cash,275.71
2024-08-13,B,Member,E-wallet,334.29
2024-09-27,B,Member,Cash,55.0
2024-03-29,B,Member,E-wallet,219.96
2024-05-09,A,Member,E-wallet,98.33
2024-06-26,B,Normal,Credit Card,167.52
2025-01-07,B,Normal,E-wallet,258.63
2024-03-15,B,Member,E-wallet,51.46
2024-06-21,B,Normal,E-wallet,315.67
2024-08-22,B,Normal,Credit Card,70.54
2025-01-27,B,Normal,E-wallet,190.04
2025-01-16,A,Normal,E-wallet,117.09
2024-05-11,A,Member,Credit Card,99.58
2024-04-07,B,Normal,E-wallet,218.99
2024-12-10,A,Normal,Credit Card,350.49
2024-03-24,B,Member,Cash,241.77
2024-06-30,B,Member,E-wallet,247.34
2024-09-03,A,Normal,E-wallet,100.7
2024-09-13,A,Member,Credit Card,398.72
2024-07-30,A,Normal,Cash,312.23
2025-02-01,B,Normal,E-wallet,201.41
2025-01-08,B,Member,Cash,349.47
2024-03-02,B,Normal,Credit Card,183.09
2024-02-21,B,Member,E-wallet,366.89
2024-02-23,A,Normal,Cash,158.73
2024-12-03,A,Member,E-wallet,129.17
2024-07-16,B,Normal,Cash,472.23
2024-05-26,A,Member,Cash,119.71
2024-12-25,A,Normal,Cash,229.75
2025-02-03,B,Normal,Credit Card,152.99
2024-03-07,B,Member,E-wallet,306.84
2024-06-01,B,Member,E-wallet,209.93
2024-09-23,A,Normal,Credit Card,241.52
2024-09-28,B,Normal,Credit Card,244.85
2024-12-08,A,Member,E-wallet,61.5
2024-03-12,A,Member,E-wallet,307.51
2024-12-07,A,Normal,Cash,322.2
2024-06-12,A,Normal,Credit Card,403.75
2024-07-10,B,Normal,E-wallet,117.94
2024-06-17,B,Member,E-wallet,482.96
2024-08-23,B,Normal,Credit Card,410.79
2024-11-11,A,Normal,Credit Card,432.79
2025-01-11,B,Normal,Cash,12.4
2024-09-03,B,Member,Cash,498.16
2024-02-24,B,Normal,Credit Card,106.59
2024-11-08,A,Member,E-wallet,409.93
2024-10-01,B,Member,Cash,415.9
2025-01-13,A,Member,E-wallet,133.7
2025-01-19,B,Member,Cash,365.25
2024-03-16,B,Normal,Cash,348.44
2025-01-04,A,Normal,E-wallet,291.18
2024-06-04,A,Normal,Cash,325.13
2024-11-23,A,Normal,Cash,441.63
2024-08-13,A,Member,E-wallet,347.67
2025-01-23,A,Normal,Credit Card,357.88
2024-07-29,A,Member,Credit Card,478.35
2025-02-05,B,Normal,Credit Card,223.11
2024-07-01,B,Normal,Cash,36.67
2024-07-25,A,Normal,Cash,264.85
2025-01-12,A,Normal,E-wallet,475.09
2024-11-19,B,Normal,E-wallet,340.85
2024-07-05,A,Member,Cash,72.73
2024-05-14,A,Normal,E-wallet,133.18
2024-12-21,B,Member,E-wallet,490.63
2024-04-08,A,Normal,Cash,304.73
2024-07-15,A,Normal,Cash,123.91
2025-02-01,A,Member,Credit Card,202.33
2024-04-15,A,Normal,Cash,63.25
2025-01-15,B,Normal,Cash,255.85
2024-05-14,B,Member,E-wallet,11.99
2024-06-19,B,Member,Credit Card,217.71
2024-05-21,B,Member,Credit Card,129.76
2024-09-08,B,Normal,Cash,435.4
2024-03-16,A,Member,Credit Card,77.0
2024-06-30,B,Normal,Cash,299.59
2024-10-02,B,Member,E-wallet,233.16
2024-03-29,B,Member,E-wallet,395.7
2024-06-11,B,Normal,Cash,101.45
2024-11-21,A,Member,E-wallet,89.36
2024-07-09,B,Member,E-wallet,496.76
2024-12-28,B,Member,Credit Card,182.43
2024-07-02,B,Normal,E-wallet,84.53
2024-10-29,A,Normal,E-wallet,436.98
2024-12-06,A,Normal,Cash,115.76
2024-08-30,B,Member,Cash,59.47
2024-11-06,B,Member,E-wallet,100.88
2024-05-18,B,Member,Credit Card,15.32
2024-08-25,A,Member,E-wallet,488.74
2024-04-26,B,Normal,E-wallet,99.55
2024-09-12,B,Normal,Credit Card,485.91
2024-07-14,B,Normal,E-wallet,441.72
2024-12-04,B,Member,E-wallet,276.7
2024-06-08,B,Member,E-wallet,455.61
2024-12-02,B,Normal,Cash,229.17
2024-12-25,B,Member,E-wallet,402.52
2024-09-16,B,Member,Cash,207.52
2024-03-08,A,Normal,Credit Card,348.27
2024-09-01,B,Member,E-wallet,109.05
2024-12-22,B,Normal,E-wallet,210.88
2024-10-22,A,Normal,Credit Card,433.85
2024-06-02,A,Normal,Credit Card,130.22
2024-09-04,A,Normal,Cash,384.2
2024-09-08,B,Member,Cash,71.01
2024-03-30,B,Member,Credit Card,56.54
2024-07-14,A,Member,Cash,204.89
2024-04-04,A,Normal,Cash,420.3
2025-02-01,B,Normal,Credit Card,247.16
2024-06-24,A,Member,Credit Card,33.27
2024-09-08,A,Member,Credit Card,291.02
2024-08-15,A,Member,E-wallet,20.95
2024-07-15,A,Member,E-wallet,290.29
2024-05-07,B,Normal,Cash,68.93
2024-08-01,B,Normal,Cash,287.9
2024-05-24,A,Member,Cash,14.0
2024-07-02,A,Normal,E-wallet,105.11
2024-05-21,B,Member,Cash,235.59
2024-03-15,B,Member,Credit Card,31.67
2024-10-12,A,Member,E-wallet,300.6
2024-05-25,A,Member,E-wallet,338.63
2024-05-23,B,Normal,Cash,18.45
2024-10-12,B,Normal,E-wallet,17.58
2025-01-22,B,Normal,Credit Card,121.55
2024-12-21,A,Normal,E-wallet,174.01
2025-01-04,B,Normal,E-wallet,446.4
2024-03-28,B,Member,Credit Card,335.18
2024-09-21,B,Member,Credit Card,432.56
2024-04-07,A,Normal,Credit Card,87.19
2024-03-31,B,Member,Credit Card,23.43
2024-05-17,A,Member,E-wallet,311.3
2024-11-13,A,Member,E-wallet,120.9
2024-04-30,B,Normal,E-wallet,142.53
2024-07-17,B,Member,E-wallet,161.84
2024-07-11,B,Normal,Credit Card,440.07
2024-09-04,A,Member,Credit Card,250.91
2024-12-07,B,Normal,Cash,48.79
2024-06-17,B,Member,Cash,202.94
2024-08-08,B,Member,Credit Card,266.2
2024-09-03,B,Member,Credit Card,326.56
2024-11-18,A,Member,Cash,59.87
2024-04-20,A,Normal,Cash,77.2
2024-06-11,B,Member,Cash,304.44
2024-11-09,B,Member,E-wallet,124.82
2024-04-05,A,Normal,E-wallet,304.21
2025-02-10,A,Member,Credit Card,423.04
2024-10-23,B,Member,Cash,10.44
2024-04-06,A,Member,Cash,186.57
2025-01-18,A,Normal,E-wallet,413.35
2025-01-07,A,Normal,E-wallet,320.47
2024-03-16,B,Member,E-wallet,83.92
2024-07-14,A,Normal,Cash,54.75
2024-09-02,A,Normal,Cash,139.14
2024-10-24,A,Normal,E-wallet,170.68
2024-09-29,B,Member,E-wallet,322.02
2024-06-27,B,Normal,E-wallet,310.49
2024-10-03,A,Normal,Credit Card,407.46
2024-10-21,A,Normal,Credit Card,208.32
2024-04-23,B,Normal,Cash,312.21
2024-12-12,B,Member,Credit Card,131.81
2024-04-30,A,Member,E-wallet,251.82
2024-07-07,A,Normal,Cash,16.79
2024-04-16,A,Normal,Credit Card,462.79
2024-04-22,B,Normal,E-wallet,132.15
2025-01-02,A,Member,Cash,125.69
2024-07-08,B,Normal,Credit Card,356.62
2024-03-16,B,Member,Cash,333.78
2024-05-23,A,Member,Cash,61.01
2024-09-17,A,Member,Cash,282.55
2024-04-10,B,Normal,Cash,295.96
2024-09-04,B,Member,Credit Card,402.18
2025-01-13,B,Member,Credit Card,233.68
2024-08-04,B,Member,E-wallet,432.81
2024-08-09,B,Normal,Credit Card,112.52
2024-06-24,A,Normal,Credit Card,70.51
2024-02-23,A,Member,Cash,423.58
2024-07-08,A,Member,E-wallet,88.0
2024-07-16,A,Normal,E-wallet,92.48
2024-05-20,B,Member,E-wallet,92.26
2024-10-08,A,Member,E-wallet,268.53
2024-05-12,A,Normal,Credit Card,86.52
2024-02-22,A,Normal,E-wallet,32.39
2024-02-26,A,Normal,E-wallet,136.99
2025-01-26,B,Normal,Credit Card,105.46
2024-11-03,B,Member,Cash,276.84
2024-06-05,B,Normal,Credit Card,118.43
2024-11-04,A,Member,Cash,247.1
2024-07-09,A,Normal,Cash,341.52
2024-05-31,A,Normal,Cash,361.5
2024-07-14,A,Normal,E-wallet,104.89
2024-03-27,A,Normal,E-wallet,370.3
2024-03-30,A,Member,Credit Card,175.08
2024-05-09,B,Member,Credit Card,366.04
2024-10-31,B,Normal,E-wallet,329.26
2024-06-22,B,Member,Cash,229.24
2025-01-28,B,Member,E-wallet,231.43
2024-03-09,A,Normal,E-wallet,239.31
2024-06-07,B,Normal,Credit Card,314.96
2024-09-02,B,Normal,Cash,95.7
2024-12-21,B,Member,Credit Card,15.87
2025-02-09,A,Member,Cash,335.91
2024-12-04,A,Normal,Credit Card,327.01
2025-01-27,B,Normal,E-wallet,364.91
2024-07-24,A,Normal,Cash,431.0
2024-08-29,B,Member,E-wallet,225.12
2025-01-15,B,Normal,Cash,433.1
2024-10-22,B,Member,Cash,39.04
2024-12-24,A,Member,Cash,117.06
2024-11-09,B,Normal,E-wallet,255.53
2025-01-17,B,Member,Credit Card,476.64
2024-08-02,A,Normal,Cash,391.56
2024-06-11,B,Member,E-wallet,495.59
2024-02-12,A,Member,Credit Card,479.43
2024-06-06,B,Member,Cash,89.44
2024-05-14,A,Normal,E-wallet,11.61
2024-05-12,B,Member,Credit Card,290.92
2024-07-19,A,Member,E-wallet,208.91
2024-04-29,A,Normal,E-wallet,396.6
2024-04-14,B,Member,E-wallet,390.15
2024-06-08,A,Normal,Cash,174.31
2024-04-26,B,Normal,Credit Card,120.77
2024-03-01,B,Normal,Cash,349.6
2024-09-15,A,Normal,Cash,367.66
2024-08-26,A,Normal,Cash,310.04
2025-01-07,B,Member,Credit Card,183.49
2024-06-20,B,Normal,Credit Card,494.44
2024-10-10,A,Member,E-wallet,89.48
2025-01-17,B,Member,E-wallet,406.08
2024-12-30,A,Member,Credit Card,192.55
2025-02-08,A,Member,E-wallet,199.76
2024-10-04,B,Normal,Cash,81.04
2025-02-05,B,Member,Cash,116.93
2024-09-06,A,Normal,Cash,58.95
2024-07-31,B,Normal,Credit Card,498.47
2024-11-06,A,Member,Cash,495.51
2024-10-03,A,Normal,E-wallet,215.97
2024-12-02,B,Member,E-wallet,222.69
2024-04-01,B,Member,E-wallet,229.11
2025-02-05,B,Normal,E-wallet,271.44
2024-11-11,B,Member,Credit Card,20.09
2024-08-27,A,Normal,E-wallet,278.61
2024-03-05,B,Normal,Cash,44.61
2024-08-11,A,Member,Credit Card,491.11
